LID,#ID,Avg_fold,Length,Ref_GC,Covered_percent,Covered_bases,Plus_reads,Minus_reads,Read_GC,Median_fold,Std_Dev
LID105866,1_LID_105965_147_length_32612_cov_57.813084,0,32612,0.4945,0,0,0,0,0,0,0
LID105866,2_LID_108406_319_length_33793_cov_3042.057049,0,33793,0.5329,0,0,0,0,0,0,0
LID105866,3_LID_108304_5458_2674_1100_9120_632_updated,0,34219,0.4927,0,0,0,0,0,0,0
LID105866,4_LID_107882_345_length_34311_cov_8.59512,0.0012,34311,0.5302,0.0583,20,1,1,0.5217,0,0.05
LID105866,5_LID_105867_65_length_34064_cov_12.309771,0.0024,34064,0.5259,0.1644,56,1,2,0.4659,0,0.06
LID105866,6_LID_107883_492_length_34868_cov_56.276093,0.0009,34868,0.5993,0.0889,31,1,0,0.4828,0,0.03
LID105866,7_LID_105984_101_length_34574_cov_32.439343,0.0009,34574,0.5178,0.0868,30,1,0,0.4,0,0.03
,,,,,,,,,,,
,,,,,,,,,,,
LID105867,1_LID_105965_147_length_32612_cov_57.813084,0.0048,32612,0.4945,0.322,105,4,2,0.497,0,0.09
LID105867,2_LID_108406_319_length_33793_cov_3042.057049,0.0017,33793,0.5329,0.1124,38,1,2,0.4839,0,0.05
LID105867,3_LID_108304_5458_2674_1100_9120_632_updated,0,34219,0.4927,0,0,0,0,0,0,0
LID105867,4_LID_107882_345_length_34311_cov_8.59512,0.0024,34311,0.5302,0.1603,55,1,2,0.4878,0,0.06
LID105867,5_LID_105867_65_length_34064_cov_12.309771,20.213,34064,0.5259,100,34064,2435,2438,0.5242,20,6.24
LID105867,6_LID_107883_492_length_34868_cov_56.276093,0.0069,34868,0.5993,0.3929,137,6,3,0.5771,0,0.11
LID105867,7_LID_105984_101_length_34574_cov_32.439343,0.0038,34574,0.5178,0.2227,77,3,2,0.4545,0,0.08
,,,,,,,,,,,
,,,,,,,,,,,
LID105868,1_LID_105965_147_length_32612_cov_57.813084,0.0006,32612,0.4945,0.0644,21,1,0,0.4286,0,0.03
LID105868,2_LID_108406_319_length_33793_cov_3042.057049,0,33793,0.5329,0,0,0,0,0,0,0
LID105868,3_LID_108304_5458_2674_1100_9120_632_updated,0,34219,0.4927,0,0,0,0,0,0,0
LID105868,4_LID_107882_345_length_34311_cov_8.59512,0,34311,0.5302,0,0,0,0,0,0,0
LID105868,5_LID_105867_65_length_34064_cov_12.309771,0.0008,34064,0.5259,0.0793,27,0,1,0.2963,0,0.03
LID105868,6_LID_107883_492_length_34868_cov_56.276093,0.0008,34868,0.5993,0.0774,27,1,0,0.5926,0,0.03
LID105868,7_LID_105984_101_length_34574_cov_32.439343,0,34574,0.5178,0,0,0,0,0,0,0
,,,,,,,,,,,
,,,,,,,,,,,
LID105869,1_LID_105965_147_length_32612_cov_57.813084,0.0095,32612,0.4945,0.5274,172,5,6,0.429,0,0.15
LID105869,2_LID_108406_319_length_33793_cov_3042.057049,0.0218,33793,0.5329,1.1689,395,12,16,0.5304,0,0.22
LID105869,3_LID_108304_5458_2674_1100_9120_632_updated,0.0114,34219,0.4927,0.7423,254,8,6,0.4608,0,0.14
LID105869,4_LID_107882_345_length_34311_cov_8.59512,0.0099,34311,0.5302,0.5334,183,2,5,0.5027,0,0.14
LID105869,5_LID_105867_65_length_34064_cov_12.309771,0.0135,34064,0.5259,0.6752,230,6,8,0.5288,0,0.16
LID105869,6_LID_107883_492_length_34868_cov_56.276093,0.0123,34868,0.5993,0.8002,279,8,8,0.6383,0,0.16
LID105869,7_LID_105984_101_length_34574_cov_32.439343,0.018,34574,0.5178,0.5553,192,7,7,0.6182,0,0.25
,,,,,,,,,,,
,,,,,,,,,,,
LID105871,1_LID_105965_147_length_32612_cov_57.813084,0.0069,32612,0.4945,0.3802,124,6,3,0.4148,0,0.11
LID105871,2_LID_108406_319_length_33793_cov_3042.057049,0.0067,33793,0.5329,0.5001,169,4,4,0.5378,0,0.1
LID105871,3_LID_108304_5458_2674_1100_9120_632_updated,0.0094,34219,0.4927,0.6429,220,5,6,0.5069,0,0.12
LID105871,4_LID_107882_345_length_34311_cov_8.59512,0.0047,34311,0.5302,0.2361,81,3,3,0.4815,0,0.1
LID105871,5_LID_105867_65_length_34064_cov_12.309771,0.0092,34064,0.5259,0.6253,213,4,8,0.5296,0,0.12
LID105871,6_LID_107883_492_length_34868_cov_56.276093,0.011,34868,0.5993,0.7973,278,7,7,0.5973,0,0.15
LID105871,7_LID_105984_101_length_34574_cov_32.439343,0.0086,34574,0.5178,0.6797,235,4,5,0.5681,0,0.11
,,,,,,,,,,,
,,,,,,,,,,,
LID105872,1_LID_105965_147_length_32612_cov_57.813084,0.0058,32612,0.4945,0.417,136,4,3,0.4947,0,0.09
LID105872,2_LID_108406_319_length_33793_cov_3042.057049,0.0196,33793,0.5329,1.2103,409,13,11,0.5643,0,0.18
LID105872,3_LID_108304_5458_2674_1100_9120_632_updated,0.0149,34219,0.4927,1.1836,405,8,6,0.489,0,0.14
LID105872,4_LID_107882_345_length_34311_cov_8.59512,0.0092,34311,0.5302,0.6441,221,7,6,0.4876,0,0.12
LID105872,5_LID_105867_65_length_34064_cov_12.309771,0.0227,34064,0.5259,1.4385,490,16,13,0.4425,0,0.2
LID105872,6_LID_107883_492_length_34868_cov_56.276093,0.0469,34868,0.5993,2.9769,1038,19,22,0.5755,0,0.3
LID105872,7_LID_105984_101_length_34574_cov_32.439343,0.0119,34574,0.5178,0.8822,305,8,8,0.5,0,0.13
,,,,,,,,,,,
,,,,,,,,,,,
LID105873,1_LID_105965_147_length_32612_cov_57.813084,0.1342,32612,0.4945,10.398,3391,22,20,0.5074,0,0.42
LID105873,2_LID_108406_319_length_33793_cov_3042.057049,0.0188,33793,0.5329,1.2784,432,12,9,0.5748,0,0.19
LID105873,3_LID_108304_5458_2674_1100_9120_632_updated,0.0119,34219,0.4927,0.6429,220,9,8,0.4404,0,0.17
LID105873,4_LID_107882_345_length_34311_cov_8.59512,0.0125,34311,0.5302,0.886,304,8,8,0.5755,0,0.14
LID105873,5_LID_105867_65_length_34064_cov_12.309771,0.0076,34064,0.5259,0.4462,152,5,5,0.5135,0,0.12
LID105873,6_LID_107883_492_length_34868_cov_56.276093,0.0146,34868,0.5993,0.8547,298,9,10,0.6535,0,0.18
LID105873,7_LID_105984_101_length_34574_cov_32.439343,0.0084,34574,0.5178,0.5033,174,6,4,0.5582,0,0.12
,,,,,,,,,,,
,,,,,,,,,,,
LID105924,1_LID_105965_147_length_32612_cov_57.813084,0.0223,32612,0.4945,1.3523,441,13,15,0.5369,0,0.21
LID105924,2_LID_108406_319_length_33793_cov_3042.057049,0.0172,33793,0.5329,1.2725,430,11,11,0.6372,0,0.16
LID105924,3_LID_108304_5458_2674_1100_9120_632_updated,0.0134,34219,0.4927,0.827,283,10,7,0.5435,0,0.15
LID105924,4_LID_107882_345_length_34311_cov_8.59512,0.0223,34311,0.5302,1.74,597,16,8,0.5762,0,0.18
LID105924,5_LID_105867_65_length_34064_cov_12.309771,0.0164,34064,0.5259,1.3739,468,7,12,0.5755,0,0.15
LID105924,6_LID_107883_492_length_34868_cov_56.276093,0.0366,34868,0.5993,2.4464,853,23,25,0.6273,0,0.25
LID105924,7_LID_105984_101_length_34574_cov_32.439343,0.0195,34574,0.5178,1.3392,463,9,14,0.5325,0,0.18
,,,,,,,,,,,
,,,,,,,,,,,
LID105925,1_LID_105965_147_length_32612_cov_57.813084,0.0322,32612,0.4945,2.0054,654,19,19,0.4986,0,0.24
LID105925,2_LID_108406_319_length_33793_cov_3042.057049,0.0502,33793,0.5329,3.3972,1148,27,29,0.545,0,0.28
LID105925,3_LID_108304_5458_2674_1100_9120_632_updated,0.0424,34219,0.4927,2.6447,905,23,29,0.5135,0,0.27
LID105925,4_LID_107882_345_length_34311_cov_8.59512,0.044,34311,0.5302,2.9582,1015,24,26,0.4924,0,0.27
LID105925,5_LID_105867_65_length_34064_cov_12.309771,0.0339,34064,0.5259,2.2751,775,20,22,0.4864,0,0.24
LID105925,6_LID_107883_492_length_34868_cov_56.276093,0.0642,34868,0.5993,4.0897,1426,39,39,0.628,0,0.35
LID105925,7_LID_105984_101_length_34574_cov_32.439343,0.0431,34574,0.5178,2.7998,968,26,28,0.4975,0,0.29
,,,,,,,,,,,
,,,,,,,,,,,
LID105926,1_LID_105965_147_length_32612_cov_57.813084,0.0496,32612,0.4945,2.913,950,33,26,0.5037,0,0.31
LID105926,2_LID_108406_319_length_33793_cov_3042.057049,0.0311,33793,0.5329,1.8939,640,20,16,0.5723,0,0.25
LID105926,3_LID_108304_5458_2674_1100_9120_632_updated,0.0582,34219,0.4927,3.4834,1192,31,33,0.515,0,0.33
LID105926,4_LID_107882_345_length_34311_cov_8.59512,0.0485,34311,0.5302,3.0923,1061,30,25,0.547,0,0.31
LID105926,5_LID_105867_65_length_34064_cov_12.309771,0.0326,34064,0.5259,2.1342,727,18,23,0.5096,0,0.27
LID105926,6_LID_107883_492_length_34868_cov_56.276093,0.0604,34868,0.5993,3.5161,1226,31,44,0.625,0,0.34
LID105926,7_LID_105984_101_length_34574_cov_32.439343,0.0435,34574,0.5178,2.8605,989,27,28,0.5379,0,0.28
,,,,,,,,,,,
,,,,,,,,,,,
LID105927,1_LID_105965_147_length_32612_cov_57.813084,0.0028,32612,0.4945,0.279,91,0,3,0.5568,0,0.05
LID105927,2_LID_108406_319_length_33793_cov_3042.057049,0.0073,33793,0.5329,0.3196,108,5,3,0.5789,0,0.15
LID105927,3_LID_108304_5458_2674_1100_9120_632_updated,0.0026,34219,0.4927,0.1783,61,1,2,0.4659,0,0.07
LID105927,4_LID_107882_345_length_34311_cov_8.59512,0.0008,34311,0.5302,0.0816,28,1,0,0.5714,0,0.03
LID105927,5_LID_105867_65_length_34064_cov_12.309771,0.0025,34064,0.5259,0.1644,56,1,2,0.5714,0,0.06
LID105927,6_LID_107883_492_length_34868_cov_56.276093,0.0056,34868,0.5993,0.3183,111,5,2,0.7304,0,0.12
LID105927,7_LID_105984_101_length_34574_cov_32.439343,0.0023,34574,0.5178,0.1475,51,2,1,0.55,0,0.06
,,,,,,,,,,,
,,,,,,,,,,,
LID105928,1_LID_105965_147_length_32612_cov_57.813084,0.1337,32612,0.4945,7.8529,2561,77,81,0.4694,0,0.54
